followers_count,friends_count,statuses_count
1548,4269,15697
1543,1626,58618
1540,4784,2941
1539,4334,13737
1538,2589,3973
1538,702,130927
1537,77,75616
1533,1147,15138
1533,1872,22790
1532,983,154199
1532,394,15998
1532,983,154199
1532,983,154199
1531,591,728797
1526,1004,48611
1526,712,19180
1526,1235,43028
1523,979,46299
1522,326,23540
1522,326,23549
1521,46,10645
1518,2731,38903
1518,159,8757
1516,2877,13905
1516,1130,41588
1514,1664,16193
1512,1513,50244
1509,489,72244
1506,714,3630
1502,653,94792
1498,1224,86735
1497,2405,2219
1497,540,28025
1496,5001,401170
1496,5001,401171
1484,542,154214
1482,1250,36181
1481,1850,29118
1479,1727,7946
1477,3588,19521
1475,4978,33519
1472,872,99492
1471,953,43028
1470,1630,41985
1469,1553,8341
1466,4994,77926
1464,1461,5006
1464,1461,5011
1464,1461,5012
1460,1106,94356
1454,687,9085
1454,2250,7768
1453,2054,14314
1449,2331,5534
1449,955,9366
1447,1717,15677
1446,1,52632
1443,250,81278
1440,2822,31797
1437,1455,12124
1435,131,2753
1434,1308,60093
1433,227,3508
1432,1988,112823
1429,1598,25909
1425,153,5471
1423,2731,21121
1423,4071,16710
1420,54,3255
1419,2386,41606
1416,987,12056
1415,4870,35494
1413,2239,36511
1412,1943,74656
1411,1021,13131
1410,4295,56206
1409,1539,10170
1405,1651,62133
1404,899,44000
1403,1256,2426
1401,434,25956
1396,1032,25293
1391,711,56559
1391,2398,91463
1389,3325,4394
1386,1381,79732
1386,1584,79199
1379,2237,3810
1379,4117,13322
1379,947,29169
1379,947,29169
1378,4999,43223
1378,4999,43225
1377,1963,67905
1376,1512,3069
1375,1511,76481
1373,1587,76608
1373,0,168230
1368,576,54349
1368,558,19283
1367,3466,25401
1364,989,68294
1363,396,9401
1363,727,55141
1362,1568,303579
1355,4489,29192
1354,1269,199193
1352,393,69588
1352,1287,14862
1352,1193,4392
1350,1174,19886
1347,607,66902
1346,893,1085
1345,99,6989
1342,1691,45042
1339,4495,107378
1338,1946,11769
1336,630,15398
1336,630,15398
1334,955,15253
1333,2521,24892
1332,1630,16096
1331,1010,38933
1325,1278,19739
1324,1725,40619
1323,357,2381
1321,1545,31290
1320,45,9086
1319,1175,63958
1319,1288,24284
1313,2165,15943
1307,308,52333
1305,1065,20851
1305,515,38234
1304,1283,43095
1298,1094,29818
1294,948,79568
1291,1002,140740
1291,148,46816
1290,1061,47720
1289,5002,135376
1288,635,83216
1288,635,83217
1288,635,83221
1286,1302,5906
1286,648,21263
1286,1289,3411
1285,929,19005
1285,929,19005
1285,929,19005
1285,929,19005
1285,929,19005
1285,929,19005
1285,929,19005
1281,613,56914
1280,856,13935
1279,2048,3331
1278,1883,1874
1277,557,90551
1277,789,49833
1275,5001,23941
1274,995,70708
1272,1544,8549
1270,1172,1706
1270,1172,1706
1266,733,126495
1263,23,41486
1262,2020,57891
1258,2744,4975
1258,1006,4238
1257,1390,45474
1257,1161,35115
1255,1839,26015
1252,1244,113965
1252,408,15270
1252,1076,32696
1249,1219,71797
1247,727,4834
1246,3815,5904
1245,858,6233
1242,1222,18526
1240,715,85924
1240,1215,17625
1239,1981,81652
1237,1172,25397
1237,1631,206496
1237,172,13155
1233,1846,24270
1231,1925,101477
1229,991,3700
1227,5000,48757
1227,1906,31033
1224,1159,45981
1224,1310,142596
1223,1924,36977
1221,3357,100415
1221,682,9834
1221,2452,14337
1220,502,90969
1217,946,47408
1216,860,202671
1215,2227,10690
1215,1215,9345
1215,550,18463
1205,4846,117823
1204,0,3381
1204,1658,10564
1203,488,1665
1203,924,4520
1200,45,3420
1200,813,22931
1199,3392,31143
1199,2125,42375
1198,892,86749
1197,107,765
1194,1255,4722
1193,1619,14349
1191,1352,57827
1190,1199,15180
1190,1199,15180
1190,1199,15180
1188,898,6956
1188,1434,77529
1188,746,67186
1186,824,114236
1185,521,63705
1183,2960,53760
1180,417,89661
1180,1518,30176
1176,418,13930
1176,1002,9727
1176,1402,12057
1175,447,301327
1173,74,292
1171,1071,63557
1170,4314,16913
1169,429,11168
1165,186,31704
1164,328,152140
1164,619,48140
1163,1833,20550
1159,1711,1953
1159,1711,1953
1158,1086,6082
1158,1086,6082
1158,1242,36492
1157,397,16416
1157,498,1046
1157,246,26494
1154,1289,12508
1152,538,58086
1148,4515,23105
1145,857,1962
1144,1055,187853
1144,1055,187854
1144,25,327
1143,829,6112
1140,1114,52663
1138,490,7746
1138,1202,33614
1137,378,60987
1135,684,109314
1130,986,4208
1130,844,13049
1126,1459,154602
1125,1022,55781
1124,1282,70353
1122,970,66552
1120,2420,17201
1119,1407,64237
1119,1407,64238
1117,1347,7015
1116,1117,3272
1114,2127,10189
1108,973,51616
1108,1943,6606
1107,1410,68927
1105,74,4905
1104,1843,22295
1102,2551,38458
1102,836,7260
1102,28,400977
